"Statistic Label","Month","Commodity Group","UNIT","VALUE"
"Value of Imports","1972 January","Total food and live animals (0)","Euro Thousand","8288"
"Value of Imports","1972 January","Live animals except fish etc. (00)","Euro Thousand","1162"
"Value of Imports","1972 January","Meat and meat preparations (01)","Euro Thousand","18"
"Value of Imports","1972 January","Dairy products and birds eggs (02)","Euro Thousand","27"
"Value of Imports","1972 January","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","217"
"Value of Imports","1972 January","Cereals and cereal preparations (04)","Euro Thousand","1641"
"Value of Imports","1972 January","Vegetables and fruit (05)","Euro Thousand","2061"
"Value of Imports","1972 January","Sugar, sugar preparations and honey (06)","Euro Thousand","620"
"Value of Imports","1972 January","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1163"
"Value of Imports","1972 January","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","886"
"Value of Imports","1972 January","Miscellaneous edible products and preparations (09)","Euro Thousand","495"
"Value of Imports","1972 January","Beverages and tobacco (1)","Euro Thousand","2381"
"Value of Imports","1972 January","Beverages (11)","Euro Thousand","516"
"Value of Imports","1972 January","Tobacco and tobacco manufactures (12)","Euro Thousand","1865"
"Value of Imports","1972 January","Crude materials, inedible, except fuels (2)","Euro Thousand","3743"
"Value of Imports","1972 January","Hides, skins and furskins, raw (21)","Euro Thousand","110"
"Value of Imports","1972 January","Oilseeds and oleaginous fruit (22)","Euro Thousand","53"
"Value of Imports","1972 January","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","180"
"Value of Imports","1972 January","Cork and wood (24)","Euro Thousand","1329"
"Value of Imports","1972 January","Pulp and waste paper (25)","Euro Thousand","317"
"Value of Imports","1972 January","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","940"
"Value of Imports","1972 January","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","523"
"Value of Imports","1972 January","Metalliferous ores and metal scrap (28)","Euro Thousand","14"
"Value of Imports","1972 January","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","277"
"Value of Imports","1972 January","Mineral fuels, lubricants and related materials (3)","Euro Thousand","4961"
"Value of Imports","1972 January","Coal, coke and briquettes (32)","Euro Thousand","688"
"Value of Imports","1972 January","Petroleum, petroleum products and related materials (33)","Euro Thousand","4163"
"Value of Imports","1972 January","Gas, natural and manufactured (34)","Euro Thousand","110"
"Value of Imports","1972 January","Electric current (35)","Euro Thousand","0"
"Value of Imports","1972 January","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","324"
"Value of Imports","1972 January","Animal oils and fats (41)","Euro Thousand","83"
"Value of Imports","1972 January","Fixed vegetable oils and fats (42)","Euro Thousand","213"
"Value of Imports","1972 January","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","28"
"Value of Imports","1972 January","Chemicals and related products, n.e.s. (5)","Euro Thousand","8733"
"Value of Imports","1972 January","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1972 January","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1972 January","Dyeing, tanning and colouring materials (53)","Euro Thousand","403"
"Value of Imports","1972 January","Medicinal and pharmaceutical products (54)","Euro Thousand","1625"
"Value of Imports","1972 January","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","429"
"Value of Imports","1972 January","Fertilisers, manufactured (56)","Euro Thousand","1775"
"Value of Imports","1972 January","Plastics in primary forms (57)","Euro Thousand","43"
"Value of Imports","1972 January","Plastics in non-primary forms (58)","Euro Thousand","2228"
"Value of Imports","1972 January","Chemical materials and products, n.e.s. (59)","Euro Thousand","669"
"Value of Imports","1972 January","Manufactured goods classified chiefly by material (6)","Euro Thousand","17304"
"Value of Imports","1972 January","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","457"
"Value of Imports","1972 January","Rubber manufactures, n.e.s. (62)","Euro Thousand","688"
"Value of Imports","1972 January","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","517"
"Value of Imports","1972 January","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","2004"
"Value of Imports","1972 January","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","5727"
"Value of Imports","1972 January","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1097"
"Value of Imports","1972 January","Iron and steel (67)","Euro Thousand","2330"
"Value of Imports","1972 January","Non-ferrous metals (68)","Euro Thousand","1487"
"Value of Imports","1972 January","Manufactures of metal, n.e.s. (69)","Euro Thousand","2998"
"Value of Imports","1972 January","Machinery and transport equipment (7)","Euro Thousand","21462"
"Value of Imports","1972 January","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1972 January","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1972 January","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1972 January","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1972 January","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1972 January","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1972 January","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1972 January","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1972 January","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1972 January","Miscellaneous manufactured articles (8)","Euro Thousand","6476"
"Value of Imports","1972 January","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","546"
"Value of Imports","1972 January","Furniture and parts thereof (82)","Euro Thousand","248"
"Value of Imports","1972 January","Travel goods, handbags and similar containers (83)","Euro Thousand","58"
"Value of Imports","1972 January","Articles of apparel and clothing accessories (84)","Euro Thousand","1338"
"Value of Imports","1972 January","Footwear (85)","Euro Thousand","338"
"Value of Imports","1972 January","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1972 January","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1972 January","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","2680"
"Value of Imports","1972 January","Commodities and transactions n.e.s. (9)","Euro Thousand","3643"
"Value of Imports","1972 January","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","53975"
"Value of Imports","1972 February","Total food and live animals (0)","Euro Thousand","7527"
"Value of Imports","1972 February","Live animals except fish etc. (00)","Euro Thousand","1371"
"Value of Imports","1972 February","Meat and meat preparations (01)","Euro Thousand","46"
"Value of Imports","1972 February","Dairy products and birds eggs (02)","Euro Thousand","52"
"Value of Imports","1972 February","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","243"
"Value of Imports","1972 February","Cereals and cereal preparations (04)","Euro Thousand","1285"
"Value of Imports","1972 February","Vegetables and fruit (05)","Euro Thousand","2084"
"Value of Imports","1972 February","Sugar, sugar preparations and honey (06)","Euro Thousand","203"
"Value of Imports","1972 February","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1059"
"Value of Imports","1972 February","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","735"
"Value of Imports","1972 February","Miscellaneous edible products and preparations (09)","Euro Thousand","448"
"Value of Imports","1972 February","Beverages and tobacco (1)","Euro Thousand","1835"
"Value of Imports","1972 February","Beverages (11)","Euro Thousand","485"
"Value of Imports","1972 February","Tobacco and tobacco manufactures (12)","Euro Thousand","1351"
"Value of Imports","1972 February","Crude materials, inedible, except fuels (2)","Euro Thousand","4469"
"Value of Imports","1972 February","Hides, skins and furskins, raw (21)","Euro Thousand","215"
"Value of Imports","1972 February","Oilseeds and oleaginous fruit (22)","Euro Thousand","74"
"Value of Imports","1972 February","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","198"
"Value of Imports","1972 February","Cork and wood (24)","Euro Thousand","1354"
"Value of Imports","1972 February","Pulp and waste paper (25)","Euro Thousand","182"
"Value of Imports","1972 February","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","1163"
"Value of Imports","1972 February","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","758"
"Value of Imports","1972 February","Metalliferous ores and metal scrap (28)","Euro Thousand","18"
"Value of Imports","1972 February","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","508"
"Value of Imports","1972 February","Mineral fuels, lubricants and related materials (3)","Euro Thousand","6945"
"Value of Imports","1972 February","Coal, coke and briquettes (32)","Euro Thousand","992"
"Value of Imports","1972 February","Petroleum, petroleum products and related materials (33)","Euro Thousand","5831"
"Value of Imports","1972 February","Gas, natural and manufactured (34)","Euro Thousand","122"
"Value of Imports","1972 February","Electric current (35)","Euro Thousand","0"
"Value of Imports","1972 February","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","376"
"Value of Imports","1972 February","Animal oils and fats (41)","Euro Thousand","80"
"Value of Imports","1972 February","Fixed vegetable oils and fats (42)","Euro Thousand","182"
"Value of Imports","1972 February","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","114"
"Value of Imports","1972 February","Chemicals and related products, n.e.s. (5)","Euro Thousand","9070"
"Value of Imports","1972 February","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1972 February","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1972 February","Dyeing, tanning and colouring materials (53)","Euro Thousand","505"
"Value of Imports","1972 February","Medicinal and pharmaceutical products (54)","Euro Thousand","1548"
"Value of Imports","1972 February","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","467"
"Value of Imports","1972 February","Fertilisers, manufactured (56)","Euro Thousand","2065"
"Value of Imports","1972 February","Plastics in primary forms (57)","Euro Thousand","61"
"Value of Imports","1972 February","Plastics in non-primary forms (58)","Euro Thousand","2030"
"Value of Imports","1972 February","Chemical materials and products, n.e.s. (59)","Euro Thousand","712"
"Value of Imports","1972 February","Manufactured goods classified chiefly by material (6)","Euro Thousand","17816"
"Value of Imports","1972 February","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","527"
"Value of Imports","1972 February","Rubber manufactures, n.e.s. (62)","Euro Thousand","705"
"Value of Imports","1972 February","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","462"
"Value of Imports","1972 February","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","2227"
"Value of Imports","1972 February","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","5856"
"Value of Imports","1972 February","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1070"
"Value of Imports","1972 February","Iron and steel (67)","Euro Thousand","2820"
"Value of Imports","1972 February","Non-ferrous metals (68)","Euro Thousand","1266"
"Value of Imports","1972 February","Manufactures of metal, n.e.s. (69)","Euro Thousand","2881"
"Value of Imports","1972 February","Machinery and transport equipment (7)","Euro Thousand","21056"
"Value of Imports","1972 February","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1972 February","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1972 February","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1972 February","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1972 February","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1972 February","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1972 February","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1972 February","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1972 February","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1972 February","Miscellaneous manufactured articles (8)","Euro Thousand","7488"
"Value of Imports","1972 February","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","508"
"Value of Imports","1972 February","Furniture and parts thereof (82)","Euro Thousand","237"
"Value of Imports","1972 February","Travel goods, handbags and similar containers (83)","Euro Thousand","95"
"Value of Imports","1972 February","Articles of apparel and clothing accessories (84)","Euro Thousand","1967"
"Value of Imports","1972 February","Footwear (85)","Euro Thousand","474"
"Value of Imports","1972 February","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1972 February","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1972 February","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","2904"
"Value of Imports","1972 February","Commodities and transactions n.e.s. (9)","Euro Thousand","3619"
"Value of Imports","1972 February","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","55429"
"Value of Imports","1972 March","Total food and live animals (0)","Euro Thousand","9039"
"Value of Imports","1972 March","Live animals except fish etc. (00)","Euro Thousand","1751"
"Value of Imports","1972 March","Meat and meat preparations (01)","Euro Thousand","42"
"Value of Imports","1972 March","Dairy products and birds eggs (02)","Euro Thousand","32"
"Value of Imports","1972 March","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","221"
"Value of Imports","1972 March","Cereals and cereal preparations (04)","Euro Thousand","1740"
"Value of Imports","1972 March","Vegetables and fruit (05)","Euro Thousand","1731"
"Value of Imports","1972 March","Sugar, sugar preparations and honey (06)","Euro Thousand","710"
"Value of Imports","1972 March","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1257"
"Value of Imports","1972 March","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","907"
"Value of Imports","1972 March","Miscellaneous edible products and preparations (09)","Euro Thousand","651"
"Value of Imports","1972 March","Beverages and tobacco (1)","Euro Thousand","2294"
"Value of Imports","1972 March","Beverages (11)","Euro Thousand","546"
"Value of Imports","1972 March","Tobacco and tobacco manufactures (12)","Euro Thousand","1750"
"Value of Imports","1972 March","Crude materials, inedible, except fuels (2)","Euro Thousand","4951"
"Value of Imports","1972 March","Hides, skins and furskins, raw (21)","Euro Thousand","336"
"Value of Imports","1972 March","Oilseeds and oleaginous fruit (22)","Euro Thousand","93"
"Value of Imports","1972 March","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","301"
"Value of Imports","1972 March","Cork and wood (24)","Euro Thousand","1362"
"Value of Imports","1972 March","Pulp and waste paper (25)","Euro Thousand","488"
"Value of Imports","1972 March","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","1397"
"Value of Imports","1972 March","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","555"
"Value of Imports","1972 March","Metalliferous ores and metal scrap (28)","Euro Thousand","34"
"Value of Imports","1972 March","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","385"
"Value of Imports","1972 March","Mineral fuels, lubricants and related materials (3)","Euro Thousand","7076"
"Value of Imports","1972 March","Coal, coke and briquettes (32)","Euro Thousand","1271"
"Value of Imports","1972 March","Petroleum, petroleum products and related materials (33)","Euro Thousand","5672"
"Value of Imports","1972 March","Gas, natural and manufactured (34)","Euro Thousand","133"
"Value of Imports","1972 March","Electric current (35)","Euro Thousand","0"
"Value of Imports","1972 March","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","797"
"Value of Imports","1972 March","Animal oils and fats (41)","Euro Thousand","79"
"Value of Imports","1972 March","Fixed vegetable oils and fats (42)","Euro Thousand","621"
"Value of Imports","1972 March","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","98"
"Value of Imports","1972 March","Chemicals and related products, n.e.s. (5)","Euro Thousand","9701"
"Value of Imports","1972 March","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1972 March","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1972 March","Dyeing, tanning and colouring materials (53)","Euro Thousand","597"
"Value of Imports","1972 March","Medicinal and pharmaceutical products (54)","Euro Thousand","1633"
"Value of Imports","1972 March","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","498"
"Value of Imports","1972 March","Fertilisers, manufactured (56)","Euro Thousand","1927"
"Value of Imports","1972 March","Plastics in primary forms (57)","Euro Thousand","53"
"Value of Imports","1972 March","Plastics in non-primary forms (58)","Euro Thousand","2520"
"Value of Imports","1972 March","Chemical materials and products, n.e.s. (59)","Euro Thousand","752"
"Value of Imports","1972 March","Manufactured goods classified chiefly by material (6)","Euro Thousand","19104"
"Value of Imports","1972 March","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","540"
"Value of Imports","1972 March","Rubber manufactures, n.e.s. (62)","Euro Thousand","843"
"Value of Imports","1972 March","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","529"
"Value of Imports","1972 March","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","2527"
"Value of Imports","1972 March","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","6689"
"Value of Imports","1972 March","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1086"
"Value of Imports","1972 March","Iron and steel (67)","Euro Thousand","2696"
"Value of Imports","1972 March","Non-ferrous metals (68)","Euro Thousand","1252"
"Value of Imports","1972 March","Manufactures of metal, n.e.s. (69)","Euro Thousand","2945"
"Value of Imports","1972 March","Machinery and transport equipment (7)","Euro Thousand","22978"
"Value of Imports","1972 March","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1972 March","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1972 March","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1972 March","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1972 March","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1972 March","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1972 March","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1972 March","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1972 March","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1972 March","Miscellaneous manufactured articles (8)","Euro Thousand","9446"
"Value of Imports","1972 March","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","523"
"Value of Imports","1972 March","Furniture and parts thereof (82)","Euro Thousand","330"
"Value of Imports","1972 March","Travel goods, handbags and similar containers (83)","Euro Thousand","124"
"Value of Imports","1972 March","Articles of apparel and clothing accessories (84)","Euro Thousand","2528"
"Value of Imports","1972 March","Footwear (85)","Euro Thousand","622"
"Value of Imports","1972 March","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1972 March","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1972 March","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","3813"
"Value of Imports","1972 March","Commodities and transactions n.e.s. (9)","Euro Thousand","4420"
"Value of Imports","1972 March","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","61229"
"Value of Imports","1972 April","Total food and live animals (0)","Euro Thousand","9320"
"Value of Imports","1972 April","Live animals except fish etc. (00)","Euro Thousand","1338"
"Value of Imports","1972 April","Meat and meat preparations (01)","Euro Thousand","33"
"Value of Imports","1972 April","Dairy products and birds eggs (02)","Euro Thousand","30"
"Value of Imports","1972 April","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","250"
"Value of Imports","1972 April","Cereals and cereal preparations (04)","Euro Thousand","1158"
"Value of Imports","1972 April","Vegetables and fruit (05)","Euro Thousand","2292"
"Value of Imports","1972 April","Sugar, sugar preparations and honey (06)","Euro Thousand","852"
"Value of Imports","1972 April","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","1722"
"Value of Imports","1972 April","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","1101"
"Value of Imports","1972 April","Miscellaneous edible products and preparations (09)","Euro Thousand","542"
"Value of Imports","1972 April","Beverages and tobacco (1)","Euro Thousand","1023"
"Value of Imports","1972 April","Beverages (11)","Euro Thousand","599"
"Value of Imports","1972 April","Tobacco and tobacco manufactures (12)","Euro Thousand","425"
"Value of Imports","1972 April","Crude materials, inedible, except fuels (2)","Euro Thousand","4582"
"Value of Imports","1972 April","Hides, skins and furskins, raw (21)","Euro Thousand","246"
"Value of Imports","1972 April","Oilseeds and oleaginous fruit (22)","Euro Thousand","37"
"Value of Imports","1972 April","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","199"
"Value of Imports","1972 April","Cork and wood (24)","Euro Thousand","1601"
"Value of Imports","1972 April","Pulp and waste paper (25)","Euro Thousand","428"
"Value of Imports","1972 April","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","1234"
"Value of Imports","1972 April","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","649"
"Value of Imports","1972 April","Metalliferous ores and metal scrap (28)","Euro Thousand","14"
"Value of Imports","1972 April","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","173"
"Value of Imports","1972 April","Mineral fuels, lubricants and related materials (3)","Euro Thousand","6932"
"Value of Imports","1972 April","Coal, coke and briquettes (32)","Euro Thousand","813"
"Value of Imports","1972 April","Petroleum, petroleum products and related materials (33)","Euro Thousand","6015"
"Value of Imports","1972 April","Gas, natural and manufactured (34)","Euro Thousand","104"
"Value of Imports","1972 April","Electric current (35)","Euro Thousand","0"
"Value of Imports","1972 April","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","432"
"Value of Imports","1972 April","Animal oils and fats (41)","Euro Thousand","79"
"Value of Imports","1972 April","Fixed vegetable oils and fats (42)","Euro Thousand","253"
"Value of Imports","1972 April","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","100"
"Value of Imports","1972 April","Chemicals and related products, n.e.s. (5)","Euro Thousand","8558"
"Value of Imports","1972 April","Organic chemicals (51)","Euro Thousand",""
"Value of Imports","1972 April","Inorganic chemicals (52)","Euro Thousand",""
"Value of Imports","1972 April","Dyeing, tanning and colouring materials (53)","Euro Thousand","484"
"Value of Imports","1972 April","Medicinal and pharmaceutical products (54)","Euro Thousand","1526"
"Value of Imports","1972 April","Essential oils, perfume materials, toilet preparations etc. (55)","Euro Thousand","533"
"Value of Imports","1972 April","Fertilisers, manufactured (56)","Euro Thousand","1477"
"Value of Imports","1972 April","Plastics in primary forms (57)","Euro Thousand","52"
"Value of Imports","1972 April","Plastics in non-primary forms (58)","Euro Thousand","2098"
"Value of Imports","1972 April","Chemical materials and products, n.e.s. (59)","Euro Thousand","805"
"Value of Imports","1972 April","Manufactured goods classified chiefly by material (6)","Euro Thousand","16367"
"Value of Imports","1972 April","Leather, leather manufactures and dressed furskins (61)","Euro Thousand","465"
"Value of Imports","1972 April","Rubber manufactures, n.e.s. (62)","Euro Thousand","782"
"Value of Imports","1972 April","Cork and wood manufactures, excluding furniture (63)","Euro Thousand","446"
"Value of Imports","1972 April","Paper, paperboard and articles of paper pulp, paper etc. (64)","Euro Thousand","2220"
"Value of Imports","1972 April","Textile yarn, fabrics, made-up articles and related products (65)","Euro Thousand","5422"
"Value of Imports","1972 April","Non-metallic mineral manufactures, n.e.s. (66)","Euro Thousand","1092"
"Value of Imports","1972 April","Iron and steel (67)","Euro Thousand","2150"
"Value of Imports","1972 April","Non-ferrous metals (68)","Euro Thousand","998"
"Value of Imports","1972 April","Manufactures of metal, n.e.s. (69)","Euro Thousand","2792"
"Value of Imports","1972 April","Machinery and transport equipment (7)","Euro Thousand","22072"
"Value of Imports","1972 April","Power generating machinery and equipment (71)","Euro Thousand",""
"Value of Imports","1972 April","Machinery specialised for particular industries (72)","Euro Thousand",""
"Value of Imports","1972 April","Metalworking machinery (73)","Euro Thousand",""
"Value of Imports","1972 April","General industrial machinery and parts, n.e.s. (74)","Euro Thousand",""
"Value of Imports","1972 April","Office machines and automatic data processing equipment (75)","Euro Thousand",""
"Value of Imports","1972 April","Telecommunications and sound recording, reproducing equipment (76)","Euro Thousand",""
"Value of Imports","1972 April","Electrical machinery, appliances etc., n.e.s. (77)","Euro Thousand",""
"Value of Imports","1972 April","Road vehicles (78)","Euro Thousand",""
"Value of Imports","1972 April","Other transport equipment (79)","Euro Thousand",""
"Value of Imports","1972 April","Miscellaneous manufactured articles (8)","Euro Thousand","7928"
"Value of Imports","1972 April","Prefab buildings; plumbing and electrical fixtures and fittings (81)","Euro Thousand","542"
"Value of Imports","1972 April","Furniture and parts thereof (82)","Euro Thousand","349"
"Value of Imports","1972 April","Travel goods, handbags and similar containers (83)","Euro Thousand","97"
"Value of Imports","1972 April","Articles of apparel and clothing accessories (84)","Euro Thousand","1905"
"Value of Imports","1972 April","Footwear (85)","Euro Thousand","496"
"Value of Imports","1972 April","Professional, scientific and controlling apparatus (87)","Euro Thousand",""
"Value of Imports","1972 April","Photographic apparatus, optical goods, watches and clocks (88)","Euro Thousand",""
"Value of Imports","1972 April","Miscellaneous manufactured articles, n.e.s. (89)","Euro Thousand","3005"
"Value of Imports","1972 April","Commodities and transactions n.e.s. (9)","Euro Thousand","3713"
"Value of Imports","1972 April","Total of chemicals, manufactured goods, machinery and transport equipment, misc articles (5,6,7,8)","Euro Thousand","54925"
"Value of Imports","1972 May","Total food and live animals (0)","Euro Thousand","8863"
"Value of Imports","1972 May","Live animals except fish etc. (00)","Euro Thousand","1837"
"Value of Imports","1972 May","Meat and meat preparations (01)","Euro Thousand","23"
"Value of Imports","1972 May","Dairy products and birds eggs (02)","Euro Thousand","86"
"Value of Imports","1972 May","Fish, crustaceans, molluscs and preparations thereof (03)","Euro Thousand","321"
"Value of Imports","1972 May","Cereals and cereal preparations (04)","Euro Thousand","1483"
"Value of Imports","1972 May","Vegetables and fruit (05)","Euro Thousand","2018"
"Value of Imports","1972 May","Sugar, sugar preparations and honey (06)","Euro Thousand","762"
"Value of Imports","1972 May","Coffee, tea, cocoa, spices and manufactures thereof (07)","Euro Thousand","608"
"Value of Imports","1972 May","Feeding stuffs for animals, excluding unmilled cereals (08)","Euro Thousand","1027"
"Value of Imports","1972 May","Miscellaneous edible products and preparations (09)","Euro Thousand","696"
"Value of Imports","1972 May","Beverages and tobacco (1)","Euro Thousand","1544"
"Value of Imports","1972 May","Beverages (11)","Euro Thousand","696"
"Value of Imports","1972 May","Tobacco and tobacco manufactures (12)","Euro Thousand","848"
"Value of Imports","1972 May","Crude materials, inedible, except fuels (2)","Euro Thousand","4602"
"Value of Imports","1972 May","Hides, skins and furskins, raw (21)","Euro Thousand","180"
"Value of Imports","1972 May","Oilseeds and oleaginous fruit (22)","Euro Thousand","42"
"Value of Imports","1972 May","Crude rubber, including synthetic and reclaimed rubber (23)","Euro Thousand","251"
"Value of Imports","1972 May","Cork and wood (24)","Euro Thousand","1355"
"Value of Imports","1972 May","Pulp and waste paper (25)","Euro Thousand","676"
"Value of Imports","1972 May","Textile fibres, excluding wool tops, and their wastes (26)","Euro Thousand","1501"
"Value of Imports","1972 May","Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Euro Thousand","446"
"Value of Imports","1972 May","Metalliferous ores and metal scrap (28)","Euro Thousand","14"
"Value of Imports","1972 May","Crude animal and vegetable materials, n.e.s. (29)","Euro Thousand","136"
"Value of Imports","1972 May","Mineral fuels, lubricants and related materials (3)","Euro Thousand","7071"
"Value of Imports","1972 May","Coal, coke and briquettes (32)","Euro Thousand","710"
"Value of Imports","1972 May","Petroleum, petroleum products and related materials (33)","Euro Thousand","6285"
"Value of Imports","1972 May","Gas, natural and manufactured (34)","Euro Thousand","77"
"Value of Imports","1972 May","Electric current (35)","Euro Thousand","0"
"Value of Imports","1972 May","Animal and vegetable oils, fats and waxes (4)","Euro Thousand","194"
"Value of Imports","1972 May","Animal oils and fats (41)","Euro Thousand","56"
"Value of Imports","1972 May","Fixed vegetable oils and fats (42)","Euro Thousand","113"
"Value of Imports","1972 May","Animal and vegetable oils and fats, processed, and waxes (43)","Euro Thousand","25"
"Value of Imports","1972 May","Chemicals and related products, n.e.s. (5)","Euro Thousand","9821"
